time,connetion,conection_data,Is_heart_beat,heart_rate,Is_beat_span,beat_span,Is_Valid
22:37:54:543533,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:544525,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:624716,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:624716,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:625717,TRUE,328,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:753763,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:753763,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:754764,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:831758,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:832758,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:832758,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:937764,TRUE,324,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:938764,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:54:938764,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:044798,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:045798,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:149799,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:150799,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:150799,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:254797,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:254797,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:255798,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:359798,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:360800,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:361799,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:470804,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:472805,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:571838,TRUE,327,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:572838,TRUE,328,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:572838,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:677888,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:678886,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:679886,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:780896,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:781885,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:783885,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:888885,TRUE,329,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:889887,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:890885,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:993895,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:55:993895,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:098903,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:098903,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:099901,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:204950,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:207949,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:210956,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:310949,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:311942,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:311942,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:417993,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:419993,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:496039,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:498038,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:500037,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:626108,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:627108,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:627108,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:708109,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:709109,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:711110,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:806107,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:807110,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:808108,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:936843,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:56:937842,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:015953,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:016947,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:017947,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:123146,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:124140,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:125139,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:231139,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:232139,TRUE,329,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:232139,TRUE,319,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:336138,TRUE,321,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:336138,TRUE,327,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:441321,TRUE,327,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:442319,TRUE,329,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:443319,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:548902,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
