time,connetion,conection_data,Is_heart_beat,heart_rate,Is_beat_span,beat_span,Is_Valid
22:42:23:551344,,FALSE,FALSE,FALSE,FALSE,InValid,
22:42:23:651637,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:42:23:652631,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:42:23:761677,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:42:23:762673,TRUE,326,FALSE,FALSE,FALSE,FALSE,InValid
22:42:23:763672,TRUE,325,FALSE,FALSE,FALSE,FALSE,InValid
22:42:23:840671,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:42:23:841672,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:23:842672,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:42:23:972227,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:42:23:973221,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:42:23:974221,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:052373,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:055372,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:058371,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:158414,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:159414,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:267531,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:268526,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:269524,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:370640,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:371641,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:372640,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:476750,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:477748,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:477748,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:585844,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:587841,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:687885,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:688885,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:688885,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:794950,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:797950,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:800952,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:898559,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:899558,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:42:24:900559,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:007720,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:010720,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:013721,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:103761,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:107765,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:206960,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:206960,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:207954,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:313961,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:316960,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:318960,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:419960,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:421960,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:422959,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:527010,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:530007,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:629998,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:629998,TRUE,327,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:631000,TRUE,318,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:708598,TRUE,312,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:708598,TRUE,325,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:708598,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:843657,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:846653,TRUE,362,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:850653,TRUE,360,FALSE,FALSE,FALSE,FALSE,InValid
22:42:25:920705,TRUE,359,FALSE,FALSE,FALSE,FALSE,InValid
